"InChI Key","SMILES","Solubility"
"IMOZEMNVLZVGJZ-QGZVFWFLSA-N","CCOC1=C(C=CC(=C1)C(CS(=O)(=O)C)N2C(=O)C3=C(C2=O)C(=CC=C3)NC(=O)C)OC","0.6121172191615929"
"VOBHXZCDAVEXEY-JSGCOSHPSA-N","CC(CC1=CC=CC=C1)NC(=O)C(CCCCN)N","0.5605301924991721"
"GJJFMKBJSRMPLA-UHFFFAOYSA-N","CCN(CC)C(=O)C1(CC1CN)C2=CC=CC=C2","0.8544522195995495"
"XTTZERNUQAFMOF-QMMMGPOBSA-N","CC1CNCCC2=C1C=C(C=C2)Cl","0.698846899173247"
"RQZAXGRLVPAYTJ-GQFGMJRRSA-N","CC1=CC2C(CCC3(C2CCC3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C","0.6025641599128272"
"VVNURWKSPYZZCI-UHFFFAOYSA-N","CCC(C1=CC=CC=C1)C(=O)OCCN(CC)CC.C(C(=O)O)C(CC(=O)O)(C(=O)O)O","0.5468670553482908"
"ISAKRJDGNUQOIC-UHFFFAOYSA-N","C1=CNC(=O)NC1=O","0.6721138750234197"
"XSQUKJJJFZCRTK-UHFFFAOYSA-N","C(=O)(N)N","0.6911849215898292"
"OBWASQILIWPZMG-QZMOQZSNSA-N","C1COCC1OC2=CC=C(C=C2)CC3=C(C=CC(=C3)C4C(C(C(C(O4)CO)O)O)O)Cl","0.6239714922201199"
"FASDKYOPVNHBLU-ZETCQYMHSA-N","CCCNC1CCC2=C(C1)SC(=N2)N","0.5860910706276986"
"LNPDTQAFDNKSHK-UHFFFAOYSA-N","CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N","0.6110989103474526"
"GIJXKZJWITVLHI-YOFSQIOKSA-N","CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4","0.49172301662331885"
"PWKSKIMOESPYIA-BYPYZUCNSA-N","CC(=O)NC(CS)C(=O)O","0.49083797871591495"
"YTLQFZVCLXFFRK-UHFFFAOYSA-N","C1=CC=C(C=C1)CC2=NC3=CC=CC=C3N2","0.5040493166733767"
"WKEMJKQOLOHJLZ-UHFFFAOYSA-N","CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3","0.5781202806624005"
"MNJVRJDLRVPLFE-UHFFFAOYSA-N","CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C","0.3809463442415685"
"LPQZKKCYTLCDGQ-WEDXCCLWSA-N","CC1(C(N2C(S1(=O)=O)CC2=O)C(=O)O)CN3C=CN=N3","0.6602610181015792"
"XGALLCVXEZPNRQ-UHFFFAOYSA-N","COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4","0.4961479675006213"
"JAUOIFJMECXRGI-UHFFFAOYSA-N","C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4","0.483953195543843"
"KYYIDSXMWOZKMP-UHFFFAOYSA-N","CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O","0.7650391875183011"
"ULGZDMOVFRHVEP-RWJQBGPGSA-N","CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O","0.6509827831705403"
"NOPFSRXAKWQILS-UHFFFAOYSA-N","CCCCCCCCCCCCCCCCCCCCCCO","0.6002354168487264"
"FBOZXECLQNJBKD-ZDUSSCGKSA-N","CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O","0.5970222048684145"
"DRHKJLXJIQTDTD-OAHLLOKOSA-N","CCOC1=CC=CC=C1OCCNC(C)CC2=CC(=C(C=C2)OC)S(=O)(=O)N","0.4187433945037424"
"WWYNJERNGUHSAO-XUDSTZEESA-N","CCC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34","0.6028472427265055"
"SNPLKNRPJHDVJA-ZETCQYMHSA-N","CC(C)(CO)C(C(=O)NCCCO)O","0.6426968599378625"
"MLBVMOWEQCZNCC-OEMFJLHTSA-N","CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2CCOC2)OP(=O)(O)O)S(=O)(=O)C3=CC=C(C=C3)N","0.672862887214832"
"JXLYSJRDGCGARV-CFWMRBGOSA-N","CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O","0.39774054942772924"
"HYPPXZBJBPSRLK-UHFFFAOYSA-N","CCOC(=O)C1(CCN(CC1)CCC(C#N)(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4","0.3367123362919692"
"MKUXAQIIEYXACX-UHFFFAOYSA-N","C1=NC2=C(N1COCCO)N=C(NC2=O)N","0.652474123112795"
"ZNOVTXRBGFNYRX-STQMWFEESA-N","CN1C(CNC2=C1C(=O)NC(=N2)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O","0.6277419454977142"
"NYHBQMYGNKIUIF-UUOKFMHZSA-N","C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(NC2=O)N","0.6740466857693195"
"UGQMRVRMYYASKQ-KQYNXXCUSA-N","C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O","0.5179002728397789"
"FNKQXYHWGSIFBK-RPDRRWSUSA-N","CC(C(C1CNC2=C(N1)C(=O)NC(=N2)N)O)O","0.8572553928227241"
"OVBPIULPVIDEAO-LBPRGKRZSA-N","C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N","0.3417164739297771"
"JQXXHWHPUNPDRT-WLSIYKJHSA-N","CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C)C","0.31603082429413404"
"QZUDBNBUXVUHMW-UHFFFAOYSA-N","CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42","0.609666953411257"
"FDKXTQMXEQVLRF-ZHACJKMWSA-N","CN(C)N=NC1=C(NC=N1)C(=O)N","0.6935389344962606"
"BXZVVICBKDXVGW-NKWVEPMBSA-N","C1CC(OC1CO)N2C=NC3=C2N=CNC3=O","0.7535779822317563"
"IRSCQMHQWWYFCW-UHFFFAOYSA-N","C1=NC2=C(N1COC(CO)CO)N=C(NC2=O)N","0.6623349614412959"
"BNRNXUUZRGQAQC-UHFFFAOYSA-N","CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C","0.40019646485187055"
